phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag
airport gate,airport,gate,medium,5.2,6.2,1,1.0,concrete,neutral,transport
airport shuttle,airport,shuttle,medium,5.2,6.2,1,1.0,concrete,neutral,transport
flight deck,flight,deck,medium,5.2,6.2,1,1.0,concrete,neutral,transport
flight path,flight,path,medium,5.2,6.2,1,1.0,concrete,neutral,transport
flight plan,flight,plan,medium,5.2,6.2,1,1.0,concrete,neutral,transport
flight crew,flight,crew,medium,5.2,6.2,1,1.0,concrete,neutral,transport
helicopter pad,helicopter,pad,medium,5.0,6.0,1,1.0,concrete,neutral,transport
hot air,hot,air,medium,5.6,6.6,2,1.0,concrete,neutral,nature
air balloon,air,balloon,medium,5.4,6.4,1,1.0,concrete,neutral,object
balloon ride,balloon,ride,medium,5.2,6.2,1,1.0,concrete,neutral,transport
boat dock,boat,dock,medium,5.4,6.4,1,1.0,concrete,neutral,transport
boat ride,boat,ride,medium,5.4,6.4,1,1.0,concrete,neutral,transport
boat trip,boat,trip,medium,5.2,6.2,1,1.0,concrete,neutral,transport
boat ramp,boat,ramp,medium,5.2,6.2,1,1.0,concrete,neutral,transport
row boat,row,boat,medium,5.4,6.4,1,1.0,concrete,neutral,transport
sail boat,sail,boat,medium,5.6,6.6,1,1.0,concrete,neutral,transport
speed boat,speed,boat,medium,5.4,6.4,1,1.0,concrete,neutral,transport
motor boat,motor,boat,medium,5.4,6.4,1,1.0,concrete,neutral,transport
fishing boat,fishing,boat,medium,5.6,6.6,1,1.0,concrete,neutral,transport
house boat,house,boat,medium,5.4,6.4,1,1.0,concrete,neutral,transport
life boat,life,boat,medium,5.4,6.4,1,1.0,concrete,neutral,transport
tug boat,tug,boat,medium,5.2,6.2,1,1.0,concrete,neutral,transport
paddle boat,paddle,boat,medium,5.2,6.2,1,1.0,concrete,neutral,transport
ferry boat,ferry,boat,medium,5.2,6.2,1,1.0,concrete,neutral,transport
cruise ship,cruise,ship,medium,5.6,6.6,1,1.0,concrete,neutral,transport
cargo ship,cargo,ship,medium,5.4,6.4,1,1.0,concrete,neutral,transport
ship deck,ship,deck,medium,5.2,6.2,1,1.0,concrete,neutral,transport
ship yard,ship,yard,medium,5.2,6.2,1,1.0,concrete,neutral,transport
harbor view,harbor,view,medium,5.0,6.0,1,1.0,concrete,neutral,nature
dock worker,dock,worker,medium,5.2,6.2,1,1.0,concrete,neutral,job
loading dock,loading,dock,medium,5.2,6.2,1,1.0,concrete,neutral,transport
road trip,road,trip,high,5.8,6.8,1,1.0,concrete,neutral,transport
road map,road,map,medium,5.6,6.6,1,1.0,concrete,neutral,object
road sign,road,sign,medium,5.6,6.6,1,1.0,concrete,neutral,transport
road work,road,work,medium,5.4,6.4,1,1.0,concrete,neutral,transport
road block,road,block,medium,5.4,6.4,1,1.0,concrete,neutral,transport
road side,road,side,medium,5.4,6.4,1,1.0,concrete,neutral,transport
dirt road,dirt,road,medium,5.6,6.6,1,1.0,concrete,neutral,transport
back road,back,road,medium,5.4,6.4,1,1.0,concrete,neutral,transport
main road,main,road,medium,5.4,6.4,1,1.0,concrete,neutral,transport
side road,side,road,medium,5.2,6.2,1,1.0,concrete,neutral,transport
country road,country,road,medium,5.4,6.4,1,1.0,concrete,neutral,transport
open road,open,road,medium,5.4,6.4,1,0.8,concrete,neutral,transport
cross road,cross,road,medium,5.2,6.2,1,1.0,concrete,neutral,transport
high way,high,way,high,6.0,7.2,1,1.0,concrete,neutral,transport
highway exit,highway,exit,medium,5.4,6.4,1,1.0,concrete,neutral,transport
highway ramp,highway,ramp,medium,5.2,6.2,1,1.0,concrete,neutral,transport
free way,free,way,medium,5.6,6.6,1,1.0,concrete,neutral,transport
freeway exit,freeway,exit,medium,5.2,6.2,1,1.0,concrete,neutral,transport
express way,express,way,medium,5.2,6.2,1,1.0,concrete,neutral,transport
toll booth,toll,booth,medium,5.4,6.4,1,1.0,concrete,neutral,transport
toll road,toll,road,medium,5.4,6.4,1,1.0,concrete,neutral,transport
speed limit,speed,limit,medium,5.6,6.6,1,1.0,concrete,neutral,transport
speed bump,speed,bump,medium,5.4,6.4,1,1.0,concrete,neutral,transport
stop light,stop,light,medium,5.6,6.6,1,1.0,concrete,neutral,transport
traffic light,traffic,light,high,5.8,6.8,1,1.0,concrete,neutral,transport
traffic jam,traffic,jam,medium,5.6,6.6,1,1.0,concrete,neutral,transport
traffic sign,traffic,sign,medium,5.4,6.4,1,1.0,concrete,neutral,transport
traffic cone,traffic,cone,medium,5.4,6.4,1,1.0,concrete,neutral,transport
traffic lane,traffic,lane,medium,5.2,6.2,1,1.0,concrete,neutral,transport
parking lot,parking,lot,high,5.8,6.8,1,1.0,concrete,neutral,transport
parking spot,parking,spot,medium,5.6,6.6,1,1.0,concrete,neutral,transport
parking space,parking,space,medium,5.4,6.4,1,1.0,concrete,neutral,transport
parking meter,parking,meter,medium,5.4,6.4,1,1.0,concrete,neutral,transport
parking garage,parking,garage,medium,5.4,6.4,1,1.0,concrete,neutral,transport
parking ticket,parking,ticket,medium,5.4,6.4,1,1.0,concrete,neutral,transport
street sign,street,sign,medium,5.6,6.6,1,1.0,concrete,neutral,transport
street light,street,light,medium,5.6,6.6,1,1.0,concrete,neutral,transport
street lamp,street,lamp,medium,5.4,6.4,1,1.0,concrete,neutral,transport
street corner,street,corner,medium,5.4,6.4,1,1.0,concrete,neutral,transport
main street,main,street,medium,5.6,6.6,1,1.0,concrete,neutral,transport
side street,side,street,medium,5.4,6.4,1,1.0,concrete,neutral,transport
back street,back,street,medium,5.2,6.2,1,1.0,concrete,neutral,transport
cross street,cross,street,medium,5.2,6.2,1,1.0,concrete,neutral,transport
dead end,dead,end,medium,5.6,6.6,1,1.0,concrete,neutral,transport
one way,one,way,medium,5.6,6.6,1,1.0,concrete,neutral,transport
side walk,side,walk,high,5.8,6.8,1,1.0,concrete,neutral,transport
cross walk,cross,walk,medium,5.6,6.6,1,1.0,concrete,neutral,transport
walk way,walk,way,medium,5.4,6.4,1,1.0,concrete,neutral,transport
path way,path,way,medium,5.4,6.4,1,1.0,concrete,neutral,transport
foot path,foot,path,medium,5.4,6.4,1,1.0,concrete,neutral,transport
hiking trail,hiking,trail,medium,5.6,6.6,1,1.0,concrete,neutral,nature
hiking boot,hiking,boot,medium,5.4,6.4,1,1.0,concrete,neutral,clothing
hiking stick,hiking,stick,medium,5.2,6.2,1,1.0,concrete,neutral,object
hiking pack,hiking,pack,medium,5.2,6.2,1,1.0,concrete,neutral,object
nature trail,nature,trail,medium,5.6,6.6,1,1.0,concrete,neutral,nature
nature walk,nature,walk,medium,5.4,6.4,1,1.0,concrete,neutral,nature
nature park,nature,park,medium,5.4,6.4,1,1.0,concrete,neutral,nature
state park,state,park,medium,5.6,6.6,1,1.0,concrete,neutral,nature
national park,national,park,medium,5.6,6.6,1,1.0,concrete,neutral,nature
city park,city,park,medium,5.6,6.6,1,1.0,concrete,neutral,nature
dog park,dog,park,medium,5.6,6.6,1,1.0,concrete,neutral,nature
theme park,theme,park,medium,5.6,6.6,1,1.0,concrete,neutral,nature
water park,water,park,medium,5.6,6.6,1,1.0,concrete,neutral,nature
skate park,skate,park,medium,5.4,6.4,1,1.0,concrete,neutral,nature
park bench,park,bench,medium,5.6,6.6,1,1.0,concrete,neutral,object
park ranger,park,ranger,medium,5.4,6.4,1,1.0,concrete,neutral,job
park entrance,park,entrance,medium,5.2,6.2,1,1.0,concrete,neutral,nature
camp site,camp,site,medium,5.6,6.6,1,1.0,concrete,neutral,nature
camp ground,camp,ground,medium,5.6,6.6,1,1.0,concrete,neutral,nature
camp fire,camp,fire,medium,5.6,6.6,1,1.0,concrete,neutral,nature
summer camp,summer,camp,medium,5.6,6.6,1,1.0,concrete,neutral,nature
day camp,day,camp,medium,5.4,6.4,1,1.0,concrete,neutral,nature
boot camp,boot,camp,medium,5.4,6.4,1,1.0,concrete,neutral,nature
tent pole,tent,pole,medium,5.2,6.2,1,1.0,concrete,neutral,object
tent stake,tent,stake,medium,5.2,6.2,1,1.0,concrete,neutral,object
sleeping bag,sleeping,bag,medium,5.6,6.6,1,1.0,concrete,neutral,object
sleeping pad,sleeping,pad,medium,5.2,6.2,1,1.0,concrete,neutral,object
camp stove,camp,stove,medium,5.2,6.2,1,1.0,concrete,neutral,object
camp chair,camp,chair,medium,5.2,6.2,1,1.0,concrete,neutral,object
camp food,camp,food,medium,5.0,6.0,1,1.0,concrete,neutral,food
picnic table,picnic,table,medium,5.6,6.6,1,1.0,concrete,neutral,object
picnic basket,picnic,basket,medium,5.6,6.6,1,1.0,concrete,neutral,object
picnic area,picnic,area,medium,5.4,6.4,1,1.0,concrete,neutral,nature
picnic blanket,picnic,blanket,medium,5.4,6.4,1,1.0,concrete,neutral,object
picnic lunch,picnic,lunch,medium,5.2,6.2,1,1.0,concrete,neutral,food
forest floor,forest,floor,medium,5.4,6.4,1,1.0,concrete,neutral,nature
forest fire,forest,fire,medium,5.4,6.4,1,1.0,concrete,neutral,nature
forest path,forest,path,medium,5.4,6.4,1,1.0,concrete,neutral,nature
forest trail,forest,trail,medium,5.2,6.2,1,1.0,concrete,neutral,nature
forest ranger,forest,ranger,medium,5.4,6.4,1,1.0,concrete,neutral,job
rain forest,rain,forest,medium,5.6,6.6,1,1.0,concrete,neutral,nature
pine forest,pine,forest,medium,5.2,6.2,1,1.0,concrete,neutral,nature
pine tree,pine,tree,medium,5.6,6.6,1,1.0,concrete,neutral,nature
pine cone,pine,cone,medium,5.6,6.6,1,1.0,concrete,neutral,nature
pine needle,pine,needle,medium,5.4,6.4,1,1.0,concrete,neutral,nature
oak tree,oak,tree,medium,5.6,6.6,1,1.0,concrete,neutral,nature
oak leaf,oak,leaf,medium,5.4,6.4,1,1.0,concrete,neutral,nature
maple tree,maple,tree,medium,5.6,6.6,1,1.0,concrete,neutral,nature
maple leaf,maple,leaf,medium,5.6,6.6,1,1.0,concrete,neutral,nature
palm tree,palm,tree,medium,5.6,6.6,1,1.0,concrete,neutral,nature
apple tree,apple,tree,medium,5.6,6.6,1,1.0,concrete,neutral,nature
peach tree,peach,tree,medium,5.4,6.4,1,1.0,concrete,neutral,nature
cherry tree,cherry,tree,medium,5.4,6.4,1,1.0,concrete,neutral,nature
fruit tree,fruit,tree,medium,5.6,6.6,1,1.0,concrete,neutral,nature
tree branch,tree,branch,medium,5.6,6.6,1,1.0,concrete,neutral,nature
tree trunk,tree,trunk,medium,5.6,6.6,1,1.0,concrete,neutral,nature
tree bark,tree,bark,medium,5.4,6.4,1,1.0,concrete,neutral,nature
tree root,tree,root,medium,5.4,6.4,1,1.0,concrete,neutral,nature
tree stump,tree,stump,medium,5.4,6.4,1,1.0,concrete,neutral,nature
tree house,tree,house,medium,5.6,6.6,1,1.0,concrete,neutral,object
tree swing,tree,swing,medium,5.4,6.4,1,1.0,concrete,neutral,object
tree line,tree,line,medium,5.2,6.2,1,1.0,concrete,neutral,nature
tree top,tree,top,medium,5.4,6.4,1,1.0,concrete,neutral,nature
flower bed,flower,bed,medium,5.6,6.6,1,1.0,concrete,neutral,nature
flower pot,flower,pot,medium,5.6,6.6,1,1.0,concrete,neutral,object
flower garden,flower,garden,medium,5.6,6.6,1,1.0,concrete,neutral,nature
flower shop,flower,shop,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
flower vase,flower,vase,medium,5.4,6.4,1,1.0,concrete,neutral,object
flower petal,flower,petal,medium,5.4,6.4,1,1.0,concrete,neutral,nature
wild flower,wild,flower,medium,5.6,6.6,1,1.0,concrete,neutral,nature
sun flower,sun,flower,medium,5.6,6.6,1,1.0,concrete,neutral,nature
rose bush,rose,bush,medium,5.4,6.4,1,1.0,concrete,neutral,nature
rose garden,rose,garden,medium,5.4,6.4,1,1.0,concrete,neutral,nature
rose petal,rose,petal,medium,5.4,6.4,1,1.0,concrete,neutral,nature
garden hose,garden,hose,medium,5.6,6.6,1,1.0,concrete,neutral,object
garden gate,garden,gate,medium,5.4,6.4,1,1.0,concrete,neutral,object
garden shed,garden,shed,medium,5.4,6.4,1,1.0,concrete,neutral,object
garden path,garden,path,medium,5.4,6.4,1,1.0,concrete,neutral,nature
garden wall,garden,wall,medium,5.2,6.2,1,1.0,concrete,neutral,object
garden tool,garden,tool,medium,5.4,6.4,1,1.0,concrete,neutral,object
garden bed,garden,bed,medium,5.2,6.2,1,1.0,concrete,neutral,nature
vegetable garden,vegetable,garden,medium,5.4,6.4,1,1.0,concrete,neutral,nature
herb garden,herb,garden,medium,5.2,6.2,1,1.0,concrete,neutral,nature
rock garden,rock,garden,medium,5.2,6.2,1,1.0,concrete,neutral,nature
grass seed,grass,seed,medium,5.4,6.4,1,1.0,concrete,neutral,nature
grass blade,grass,blade,medium,5.2,6.2,1,1.0,concrete,neutral,nature
grass field,grass,field,medium,5.4,6.4,1,1.0,concrete,neutral,nature
tall grass,tall,grass,medium,5.4,6.4,1,1.0,concrete,neutral,nature
green grass,green,grass,medium,5.6,6.6,1,1.0,concrete,neutral,nature
lawn mower,lawn,mower,medium,5.6,6.6,1,1.0,concrete,neutral,object
lawn chair,lawn,chair,medium,5.6,6.6,1,1.0,concrete,neutral,object
lawn care,lawn,care,medium,5.2,6.2,1,1.0,concrete,neutral,household
front lawn,front,lawn,medium,5.4,6.4,1,1.0,concrete,neutral,nature
back lawn,back,lawn,medium,5.2,6.2,1,1.0,concrete,neutral,nature
mud puddle,mud,puddle,medium,5.4,6.4,1,1.0,concrete,neutral,nature
rain puddle,rain,puddle,medium,5.4,6.4,1,1.0,concrete,neutral,nature
water puddle,water,puddle,medium,5.2,6.2,1,1.0,concrete,neutral,nature
pond water,pond,water,medium,5.2,6.2,1,1.0,concrete,neutral,nature
fish pond,fish,pond,medium,5.4,6.4,1,1.0,concrete,neutral,nature
duck pond,duck,pond,medium,5.4,6.4,1,1.0,concrete,neutral,nature
lily pond,lily,pond,medium,5.2,6.2,1,1.0,concrete,neutral,nature
lily pad,lily,pad,medium,5.4,6.4,1,1.0,concrete,neutral,nature
lake water,lake,water,medium,5.4,6.4,1,1.0,concrete,neutral,nature
lake shore,lake,shore,medium,5.4,6.4,1,1.0,concrete,neutral,nature
lake view,lake,view,medium,5.4,6.4,1,1.0,concrete,neutral,nature
lake front,lake,front,medium,5.2,6.2,1,1.0,concrete,neutral,nature
lake house,lake,house,medium,5.4,6.4,1,1.0,concrete,neutral,building
lake bed,lake,bed,medium,5.0,6.0,1,1.0,concrete,neutral,nature
river bank,river,bank,medium,5.6,6.6,1,1.0,concrete,neutral,nature
river bed,river,bed,medium,5.4,6.4,1,1.0,concrete,neutral,nature
river side,river,side,medium,5.4,6.4,1,1.0,concrete,neutral,nature
river boat,river,boat,medium,5.4,6.4,1,1.0,concrete,neutral,transport
river fish,river,fish,medium,5.2,6.2,1,1.0,concrete,neutral,nature
stream bed,stream,bed,medium,5.0,6.0,1,1.0,concrete,neutral,nature
water stream,water,stream,medium,5.2,6.2,1,1.0,concrete,neutral,nature
water fall,water,fall,medium,5.6,6.6,1,1.0,concrete,neutral,nature
water hole,water,hole,medium,5.2,6.2,1,1.0,concrete,neutral,nature
ocean wave,ocean,wave,medium,5.6,6.6,1,1.0,concrete,neutral,nature
ocean view,ocean,view,medium,5.6,6.6,1,1.0,concrete,neutral,nature
ocean floor,ocean,floor,medium,5.4,6.4,1,1.0,concrete,neutral,nature
ocean water,ocean,water,medium,5.4,6.4,1,1.0,concrete,neutral,nature
ocean breeze,ocean,breeze,medium,5.4,6.4,1,1.0,concrete,neutral,nature
ocean side,ocean,side,medium,5.2,6.2,1,1.0,concrete,neutral,nature
sea water,sea,water,medium,5.4,6.4,1,1.0,concrete,neutral,nature
sea shore,sea,shore,medium,5.4,6.4,1,1.0,concrete,neutral,nature
sea shell,sea,shell,medium,5.6,6.6,1,1.0,concrete,neutral,nature
sea bird,sea,bird,medium,5.2,6.2,1,1.0,concrete,neutral,animal
sea turtle,sea,turtle,medium,5.4,6.4,1,1.0,concrete,neutral,animal
sea lion,sea,lion,medium,5.4,6.4,1,1.0,concrete,neutral,animal
sea horse,sea,horse,medium,5.4,6.4,1,1.0,concrete,neutral,animal
sea weed,sea,weed,medium,5.4,6.4,1,1.0,concrete,neutral,nature
sea wall,sea,wall,medium,5.2,6.2,1,1.0,concrete,neutral,object
beach sand,beach,sand,medium,5.6,6.6,1,1.0,concrete,neutral,nature
beach towel,beach,towel,medium,5.6,6.6,1,1.0,concrete,neutral,object
beach ball,beach,ball,medium,5.6,6.6,1,1.0,concrete,neutral,object
beach house,beach,house,medium,5.6,6.6,1,1.0,concrete,neutral,building
beach chair,beach,chair,medium,5.4,6.4,1,1.0,concrete,neutral,object
beach umbrella,beach,umbrella,medium,5.4,6.4,1,1.0,concrete,neutral,object
beach front,beach,front,medium,5.4,6.4,1,1.0,concrete,neutral,nature
sandy beach,sandy,beach,medium,5.6,6.6,1,1.0,concrete,neutral,nature
sand dune,sand,dune,medium,5.4,6.4,1,1.0,concrete,neutral,nature
sand castle,sand,castle,medium,5.6,6.6,1,1.0,concrete,neutral,object
sand pit,sand,pit,medium,5.2,6.2,1,1.0,concrete,neutral,nature
sand box,sand,box,medium,5.6,6.6,1,1.0,concrete,neutral,object
sand bar,sand,bar,medium,5.2,6.2,1,1.0,concrete,neutral,nature
sand storm,sand,storm,medium,5.2,6.2,1,1.0,concrete,neutral,nature
mountain top,mountain,top,medium,5.6,6.6,1,1.0,concrete,neutral,nature
mountain side,mountain,side,medium,5.4,6.4,1,1.0,concrete,neutral,nature
mountain range,mountain,range,medium,5.4,6.4,1,1.0,concrete,neutral,nature
mountain view,mountain,view,medium,5.6,6.6,1,1.0,concrete,neutral,nature
mountain trail,mountain,trail,medium,5.4,6.4,1,1.0,concrete,neutral,nature
mountain bike,mountain,bike,medium,5.6,6.6,1,1.0,concrete,neutral,transport
mountain road,mountain,road,medium,5.2,6.2,1,1.0,concrete,neutral,transport
mountain lake,mountain,lake,medium,5.4,6.4,1,1.0,concrete,neutral,nature
mountain stream,mountain,stream,medium,5.2,6.2,1,1.0,concrete,neutral,nature
hill top,hill,top,medium,5.4,6.4,1,1.0,concrete,neutral,nature
hill side,hill,side,medium,5.4,6.4,1,1.0,concrete,neutral,nature
steep hill,steep,hill,medium,5.2,6.2,1,1.0,concrete,neutral,nature
rolling hill,rolling,hill,medium,5.2,6.2,1,1.0,concrete,neutral,nature
rock face,rock,face,medium,5.2,6.2,1,1.0,concrete,neutral,nature
rock wall,rock,wall,medium,5.4,6.4,1,1.0,concrete,neutral,nature
rock pile,rock,pile,medium,5.2,6.2,1,1.0,concrete,neutral,nature
rock slide,rock,slide,medium,5.2,6.2,1,1.0,concrete,neutral,nature
rock climbing,rock,climbing,medium,5.4,6.4,1,1.0,concrete,neutral,sport
rock pool,rock,pool,medium,5.2,6.2,1,1.0,concrete,neutral,nature
cliff edge,cliff,edge,medium,5.4,6.4,1,1.0,concrete,neutral,nature
cliff face,cliff,face,medium,5.2,6.2,1,1.0,concrete,neutral,nature
cliff top,cliff,top,medium,5.2,6.2,1,1.0,concrete,neutral,nature
cave wall,cave,wall,medium,5.2,6.2,1,1.0,concrete,neutral,nature
cave floor,cave,floor,medium,5.0,6.0,1,1.0,concrete,neutral,nature
valley floor,valley,floor,medium,5.2,6.2,1,1.0,concrete,neutral,nature
river valley,river,valley,medium,5.2,6.2,1,1.0,concrete,neutral,nature
open field,open,field,medium,5.4,6.4,1,1.0,concrete,neutral,nature
wheat field,wheat,field,medium,5.4,6.4,1,1.0,concrete,neutral,nature
corn field,corn,field,medium,5.6,6.6,1,1.0,concrete,neutral,nature
grass field,grass,field,medium,5.4,6.4,1,1.0,concrete,neutral,nature
wild life,wild,life,medium,5.6,6.6,1,1.0,concrete,neutral,nature
