phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag,difficulty_score,entropy,familiarity,level_tier
baking pan,baking,pan,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
baking powder,baking,powder,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
baking sheet,baking,sheet,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
baking soda,baking,soda,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
baking tray,baking,tray,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
ball game,ball,game,medium,5.6,2.22,2,1.0,concrete,neutral,sports,20.0,1,4,early (1-20)
ball pit,ball,pit,medium,5.4,1.63,5,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
ballet class,ballet,class,medium,5.2,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
ballet shoes,ballet,shoes,medium,5.2,1.63,1,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
balloon ride,balloon,ride,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
banana bread,banana,bread,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
banana peel,banana,peel,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
banana split,banana,split,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
band member,band,member,medium,5.2,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
band practice,band,practice,medium,5.2,1.63,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
band wagon,band,wagon,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,21.5,1,4,early (1-20)
bank account,bank,account,medium,5.6,2.22,1,1.0,concrete,neutral,commerce,20.0,1,4,early (1-20)
bank balance,bank,balance,medium,5.2,1.61,2,0.8,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank book,bank,book,low,4.8,1.32,2,1.0,concrete,neutral,object,20.0,1,4,late (51+)
bank card,bank,card,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank check,bank,check,medium,5.2,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank loan,bank,loan,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank note,bank,note,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank on,bank,on,medium,5.2,1.57,1,0.4,abstract,positive,action,20.0,1,4,mid (21-50)
bank statement,bank,statement,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bank teller,bank,teller,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bank vault,bank,vault,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bar code,bar,code,medium,5.6,1.67,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bar stool,bar,stool,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bar tab,bar,tab,medium,5.5,1.67,1,1.0,concrete,neutral,commerce,17.0,1,4,mid (21-50)
barbecue sauce,barbecue,sauce,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
barber shop,barber,shop,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
barn dance,barn,dance,medium,5.5,1.64,2,0.7,concrete,neutral,music;festival,26.5,2,4,mid (21-50)
barn door,barn,door,medium,5.5,1.64,2,0.7,concrete,neutral,architecture,25.0,2,4,mid (21-50)
base ball,base,ball,high,6.2,2.08,1,1.0,concrete,neutral,sports,20.0,1,4,early (1-20)
base hit,base,hit,medium,5.2,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
base line,base,line,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
base pay,base,pay,medium,5.2,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
baseball bat,baseball,bat,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball cap,baseball,cap,medium,5.6,1.67,2,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
baseball card,baseball,card,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
baseball field,baseball,field,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball game,baseball,game,medium,5.6,1.67,2,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball glove,baseball,glove,medium,5.6,1.67,2,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball player,baseball,player,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball team,baseball,team,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basic idea,basic,idea,medium,5.2,1.58,1,0.5,abstract,neutral,thought,20.0,1,4,mid (21-50)
basket ball,basket,ball,high,6.0,2.08,1,1.0,concrete,neutral,sports,20.0,1,4,early (1-20)
basketball court,basketball,court,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball game,basketball,game,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball hoop,basketball,hoop,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball player,basketball,player,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball team,basketball,team,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
bass drum,bass,drum,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bass guitar,bass,guitar,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bath mat,bath,mat,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bath rug,bath,rug,medium,5.2,1.63,3,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bath time,bath,time,medium,5.4,1.63,3,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
bath towel,bath,towel,medium,5.8,1.67,3,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bath tub,bath,tub,high,6.0,2.23,3,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
bathroom break,bathroom,break,medium,5.2,1.63,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
bay window,bay,window,medium,5.5,1.67,1,1.0,concrete,neutral,architecture,21.5,1,4,mid (21-50)
beach bag,beach,bag,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beach ball,beach,ball,medium,5.6,1.67,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beach chair,beach,chair,medium,5.4,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
beach front,beach,front,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
beach hat,beach,hat,medium,5.2,1.63,3,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
beach house,beach,house,medium,5.4,1.63,3,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
beach sand,beach,sand,medium,5.6,1.67,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
beach towel,beach,towel,medium,5.6,1.67,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beach umbrella,beach,umbrella,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bean bag,bean,bag,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,18.5,1,4,early (1-20)
bean soup,bean,soup,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bear down,bear,down,medium,5.0,1.57,1,0.4,abstract,neutral,action,20.0,1,4,mid (21-50)
beaten path,beaten,path,medium,5.0,1.58,1,0.5,abstract,neutral,nature,20.0,1,4,mid (21-50)
bed cover,bed,cover,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bed frame,bed,frame,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bed pillow,bed,pillow,medium,5.4,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bed rest,bed,rest,high,5.5,2.07,3,1.0,concrete,neutral,household,18.5,1,4,early (1-20)
bed sheet,bed,sheet,high,5.5,2.07,3,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
bed side,bed,side,medium,5.6,1.67,3,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bed time,bed,time,medium,5.8,1.67,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
bee hive,bee,hive,medium,5.6,1.67,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bee sting,bee,sting,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
beef burger,beef,burger,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beef jerky,beef,jerky,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beef steak,beef,steak,medium,5.6,1.67,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beef stew,beef,stew,medium,5.6,1.67,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beer bottle,beer,bottle,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beer can,beer,can,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beer garden,beer,garden,medium,5.2,1.63,3,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
beer mug,beer,mug,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bell pepper,bell,pepper,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bell tower,bell,tower,medium,5.5,1.67,1,1.0,concrete,neutral,architecture,21.5,1,4,mid (21-50)
belly button,belly,button,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,24.5,1,4,early (1-20)
bench press,bench,press,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,23.0,1,4,early (1-20)
best friend,best,friend,high,5.8,2.07,1,1.0,concrete,neutral,social,20.0,1,4,early (1-20)
best time,best,time,medium,5.6,1.63,1,0.6,abstract,positive,time,20.0,1,4,mid (21-50)
best way,best,way,high,5.8,2.05,1,0.5,abstract,positive,action,20.0,1,4,early (1-20)
big business,big,business,medium,5.4,1.6,2,0.7,concrete,neutral,work,20.0,1,4,mid (21-50)
big idea,big,idea,medium,5.4,1.58,1,0.5,abstract,neutral,thought,20.0,1,4,mid (21-50)
big news,big,news,medium,5.4,1.6,1,0.7,abstract,neutral,communication,20.0,1,4,mid (21-50)
big picture,big,picture,medium,5.6,1.61,1,0.4,abstract,neutral,thought,20.0,1,4,mid (21-50)
big sale,big,sale,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
big shot,big,shot,medium,5.4,1.57,2,0.4,abstract,neutral,social,20.0,1,4,mid (21-50)
big time,big,time,medium,5.6,1.63,2,0.6,abstract,neutral,time,20.0,1,4,mid (21-50)
bigger picture,bigger,picture,medium,5.2,1.57,1,0.4,abstract,neutral,thought,20.0,1,4,mid (21-50)
bike chain,bike,chain,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bike helmet,bike,helmet,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bike lane,bike,lane,medium,5.4,1.63,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bike lock,bike,lock,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bike path,bike,path,medium,5.6,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bike rack,bike,rack,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bike ride,bike,ride,medium,5.6,1.67,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bike shop,bike,shop,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bike trail,bike,trail,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bike wheel,bike,wheel,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bird bath,bird,bath,medium,5.4,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird cage,bird,cage,medium,5.4,1.63,2,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
bird call,bird,call,medium,5.2,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird feeder,bird,feeder,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bird food,bird,food,medium,5.4,1.63,2,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
bird house,bird,house,medium,5.6,2.22,1,1.0,concrete,neutral,object,20.0,1,4,early (1-20)
bird nest,bird,nest,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird seed,bird,seed,medium,5.4,1.63,2,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
bird song,bird,song,medium,5.2,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird watching,bird,watching,medium,5.2,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
birthday cake,birthday,cake,high,5.8,2.22,3,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
birthday candle,birthday,candle,medium,5.4,1.63,3,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
birthday card,birthday,card,medium,5.6,1.67,3,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
birthday gift,birthday,gift,medium,5.6,1.67,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
birthday party,birthday,party,high,5.8,2.07,2,1.0,concrete,neutral,social,20.0,1,4,early (1-20)
birthday present,birthday,present,medium,5.6,1.67,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
birthday song,birthday,song,medium,5.4,1.63,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
birthday wish,birthday,wish,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
black bean,black,bean,medium,5.4,1.63,4,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
black coffee,black,coffee,medium,5.6,1.67,1,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
black market,black,market,medium,5.4,1.6,2,0.7,concrete,neutral,commerce,20.0,1,4,mid (21-50)
black out,black,out,medium,5.4,1.58,1,0.5,abstract,negative,action,20.0,1,4,mid (21-50)
black pepper,black,pepper,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
black tea,black,tea,medium,5.4,1.63,2,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
blank check,blank,check,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
blank paper,blank,paper,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
blank slate,blank,slate,medium,5.2,1.57,1,0.4,abstract,neutral,thought,20.0,1,4,mid (21-50)
blanket fort,blanket,fort,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
blanket stitch,blanket,stitch,low,4.8,1.32,1,1.0,concrete,neutral,craft,20.0,1,4,late (51+)
blend in,blend,in,medium,5.4,1.58,1,0.5,abstract,neutral,action,20.0,1,4,mid (21-50)
blind luck,blind,luck,medium,5.0,1.58,1,0.5,abstract,neutral,social,20.0,1,4,mid (21-50)
blind side,blind,side,medium,5.4,1.58,1,0.5,abstract,negative,action,20.0,1,4,mid (21-50)
block party,block,party,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
blow away,blow,away,medium,5.4,1.58,1,0.5,abstract,neutral,action,20.0,1,4,mid (21-50)
blow off,blow,off,medium,5.2,1.58,1,0.5,abstract,negative,action,20.0,1,4,mid (21-50)
blue cheese,blue,cheese,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
blue sky,blue,sky,medium,5.6,1.67,1,1.0,concrete,neutral,weather,20.0,1,4,mid (21-50)
blueberry muffin,blueberry,muffin,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
blueberry pie,blueberry,pie,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
board game,board,game,high,5.8,2.22,1,1.0,concrete,neutral,object,20.0,1,4,early (1-20)
board meeting,board,meeting,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
board room,board,room,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
boarding school,boarding,school,medium,5.2,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
boat dock,boat,dock,medium,5.4,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
boat race,boat,race,medium,5.5,1.67,3,1.0,concrete,neutral,maritime,20.0,1,4,mid (21-50)
boat ramp,boat,ramp,medium,5.2,1.63,3,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
boat ride,boat,ride,medium,5.4,1.63,3,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
boat trip,boat,trip,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
body pillow,body,pillow,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
body shop,body,shop,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
boiled egg,boiled,egg,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
boiler room,boiler,room,medium,5.0,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
bonus pay,bonus,pay,medium,5.2,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
book bag,book,bag,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
