phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag
wedding gift,wedding,gift,medium,5.4,6.4,1,1.0,concrete,neutral,object
wedding guest,wedding,guest,medium,5.2,6.2,1,1.0,concrete,neutral,social
family dinner,family,dinner,medium,5.6,6.6,1,1.0,concrete,neutral,social
family time,family,time,medium,5.6,6.6,1,1.0,concrete,neutral,social
family trip,family,trip,medium,5.4,6.4,1,1.0,concrete,neutral,social
family photo,family,photo,medium,5.4,6.4,1,1.0,concrete,neutral,object
family room,family,room,medium,5.6,6.6,1,1.0,concrete,neutral,household
family pet,family,pet,medium,5.4,6.4,1,1.0,concrete,neutral,animal
family friend,family,friend,medium,5.4,6.4,1,1.0,concrete,neutral,social
family name,family,name,medium,5.4,6.4,1,1.0,concrete,neutral,social
family tree,family,tree,medium,5.4,6.4,1,0.8,concrete,neutral,social
best friend,best,friend,high,5.8,6.8,1,1.0,concrete,neutral,social
old friend,old,friend,medium,5.6,6.6,1,1.0,concrete,neutral,social
new friend,new,friend,medium,5.6,6.6,1,1.0,concrete,neutral,social
close friend,close,friend,medium,5.4,6.4,1,1.0,concrete,neutral,social
pen pal,pen,pal,medium,5.4,6.4,1,1.0,concrete,neutral,social
room mate,room,mate,medium,5.6,6.6,1,1.0,concrete,neutral,social
play mate,play,mate,medium,5.2,6.2,1,1.0,concrete,neutral,social
class mate,class,mate,medium,5.6,6.6,1,1.0,concrete,neutral,social
school friend,school,friend,medium,5.4,6.4,1,1.0,concrete,neutral,social
neighbor kid,neighbor,kid,medium,5.2,6.2,1,1.0,concrete,neutral,social
next door,next,door,medium,5.6,6.6,1,1.0,concrete,neutral,social
baby sitter,baby,sitter,medium,5.6,6.6,1,1.0,concrete,neutral,job
day care,day,care,medium,5.6,6.6,1,1.0,concrete,neutral,social
child care,child,care,medium,5.4,6.4,1,1.0,concrete,neutral,social
sleep over,sleep,over,medium,5.6,6.6,1,1.0,concrete,neutral,social
camp out,camp,out,medium,5.4,6.4,1,1.0,concrete,neutral,social
hang out,hang,out,medium,5.6,6.6,1,1.0,concrete,neutral,social
meet up,meet,up,medium,5.4,6.4,1,1.0,concrete,neutral,social
get together,get,together,medium,5.6,6.6,1,1.0,concrete,neutral,social
movie night,movie,night,medium,5.6,6.6,1,1.0,concrete,neutral,social
movie time,movie,time,medium,5.4,6.4,1,1.0,concrete,neutral,time
movie star,movie,star,medium,5.6,6.6,1,1.0,concrete,neutral,job
movie theater,movie,theater,medium,5.6,6.6,1,1.0,concrete,neutral,building
movie ticket,movie,ticket,medium,5.4,6.4,1,1.0,concrete,neutral,object
movie screen,movie,screen,medium,5.4,6.4,1,1.0,concrete,neutral,object
movie poster,movie,poster,medium,5.4,6.4,1,1.0,concrete,neutral,object
movie review,movie,review,medium,5.2,6.2,1,1.0,concrete,neutral,communication
pop corn,pop,corn,high,5.8,6.8,1,1.0,concrete,neutral,food
opening night,opening,night,medium,5.2,6.2,1,1.0,concrete,neutral,social
date night,date,night,medium,5.4,6.4,1,1.0,concrete,neutral,social
ladies night,ladies,night,medium,5.2,6.2,1,1.0,concrete,neutral,social
music festival,music,festival,medium,5.4,6.4,1,1.0,concrete,neutral,social
food festival,food,festival,medium,5.4,6.4,1,1.0,concrete,neutral,social
art festival,art,festival,medium,5.2,6.2,1,1.0,concrete,neutral,social
street fair,street,fair,medium,5.4,6.4,1,1.0,concrete,neutral,social
county fair,county,fair,medium,5.4,6.4,1,1.0,concrete,neutral,social
state fair,state,fair,medium,5.4,6.4,1,1.0,concrete,neutral,social
fun fair,fun,fair,medium,5.4,6.4,1,1.0,concrete,neutral,social
book fair,book,fair,medium,5.4,6.4,1,1.0,concrete,neutral,social
craft fair,craft,fair,medium,5.2,6.2,1,1.0,concrete,neutral,social
science fair,science,fair,medium,5.4,6.4,1,1.0,concrete,neutral,school
talent show,talent,show,medium,5.4,6.4,1,1.0,concrete,neutral,social
magic show,magic,show,medium,5.4,6.4,1,1.0,concrete,neutral,social
puppet show,puppet,show,medium,5.4,6.4,1,1.0,concrete,neutral,social
fashion show,fashion,show,medium,5.4,6.4,1,1.0,concrete,neutral,social
dog show,dog,show,medium,5.4,6.4,1,1.0,concrete,neutral,social
horse show,horse,show,medium,5.2,6.2,1,1.0,concrete,neutral,social
live show,live,show,medium,5.4,6.4,1,1.0,concrete,neutral,social
talk show,talk,show,medium,5.6,6.6,1,1.0,concrete,neutral,communication
game show,game,show,medium,5.6,6.6,1,1.0,concrete,neutral,communication
reality show,reality,show,medium,5.4,6.4,1,1.0,concrete,neutral,communication
cooking show,cooking,show,medium,5.4,6.4,1,1.0,concrete,neutral,communication
morning show,morning,show,medium,5.4,6.4,1,1.0,concrete,neutral,communication
late show,late,show,medium,5.2,6.2,1,1.0,concrete,neutral,communication
news show,news,show,medium,5.2,6.2,1,1.0,concrete,neutral,communication
radio show,radio,show,medium,5.4,6.4,1,1.0,concrete,neutral,communication
tv show,tv,show,high,5.8,6.8,1,1.0,concrete,neutral,communication
web show,web,show,medium,5.2,6.2,1,1.0,concrete,neutral,communication
show time,show,time,medium,5.4,6.4,1,1.0,concrete,neutral,time
concert hall,concert,hall,medium,5.4,6.4,1,1.0,concrete,neutral,building
concert ticket,concert,ticket,medium,5.4,6.4,1,1.0,concrete,neutral,object
rock concert,rock,concert,medium,5.4,6.4,1,1.0,concrete,neutral,social
live concert,live,concert,medium,5.2,6.2,1,1.0,concrete,neutral,social
music hall,music,hall,medium,5.2,6.2,1,1.0,concrete,neutral,building
band practice,band,practice,medium,5.2,6.2,1,1.0,concrete,neutral,music
school band,school,band,medium,5.4,6.4,1,1.0,concrete,neutral,school
marching band,marching,band,medium,5.4,6.4,1,1.0,concrete,neutral,music
rock band,rock,band,medium,5.6,6.6,1,1.0,concrete,neutral,music
jazz band,jazz,band,medium,5.2,6.2,1,1.0,concrete,neutral,music
drum set,drum,set,medium,5.4,6.4,1,1.0,concrete,neutral,object
drum stick,drum,stick,medium,5.4,6.4,1,1.0,concrete,neutral,object
drum roll,drum,roll,medium,5.4,6.4,1,1.0,concrete,neutral,music
bass drum,bass,drum,medium,5.2,6.2,1,1.0,concrete,neutral,object
snare drum,snare,drum,medium,5.2,6.2,1,1.0,concrete,neutral,object
guitar pick,guitar,pick,medium,5.4,6.4,1,1.0,concrete,neutral,object
guitar string,guitar,string,medium,5.4,6.4,1,1.0,concrete,neutral,object
guitar case,guitar,case,medium,5.2,6.2,1,1.0,concrete,neutral,object
bass guitar,bass,guitar,medium,5.2,6.2,1,1.0,concrete,neutral,object
electric guitar,electric,guitar,medium,5.4,6.4,1,1.0,concrete,neutral,object
piano key,piano,key,medium,5.4,6.4,1,1.0,concrete,neutral,object
piano lesson,piano,lesson,medium,5.4,6.4,1,1.0,concrete,neutral,school
piano teacher,piano,teacher,medium,5.2,6.2,1,1.0,concrete,neutral,job
piano player,piano,player,medium,5.2,6.2,1,1.0,concrete,neutral,job
grand piano,grand,piano,medium,5.4,6.4,1,1.0,concrete,neutral,object
music lesson,music,lesson,medium,5.4,6.4,1,1.0,concrete,neutral,school
music teacher,music,teacher,medium,5.4,6.4,1,1.0,concrete,neutral,job
music room,music,room,medium,5.4,6.4,1,1.0,concrete,neutral,school
music stand,music,stand,medium,5.2,6.2,1,1.0,concrete,neutral,object
sheet music,sheet,music,medium,5.4,6.4,1,1.0,concrete,neutral,object
pop music,pop,music,medium,5.6,6.6,1,1.0,concrete,neutral,music
rock music,rock,music,medium,5.6,6.6,1,1.0,concrete,neutral,music
country music,country,music,medium,5.6,6.6,1,1.0,concrete,neutral,music
folk music,folk,music,medium,5.2,6.2,1,1.0,concrete,neutral,music
dance music,dance,music,medium,5.4,6.4,1,1.0,concrete,neutral,music
live music,live,music,medium,5.4,6.4,1,1.0,concrete,neutral,music
love song,love,song,medium,5.6,6.6,1,1.0,concrete,neutral,music
pop song,pop,song,medium,5.4,6.4,1,1.0,concrete,neutral,music
theme song,theme,song,medium,5.4,6.4,1,1.0,concrete,neutral,music
camp song,camp,song,medium,5.2,6.2,1,1.0,concrete,neutral,music
folk song,folk,song,medium,5.2,6.2,1,1.0,concrete,neutral,music
dance floor,dance,floor,medium,5.6,6.6,1,1.0,concrete,neutral,social
dance partner,dance,partner,medium,5.2,6.2,1,1.0,concrete,neutral,social
dance step,dance,step,medium,5.2,6.2,1,1.0,concrete,neutral,social
dance move,dance,move,medium,5.4,6.4,1,1.0,concrete,neutral,social
dance class,dance,class,medium,5.4,6.4,1,1.0,concrete,neutral,school
dance teacher,dance,teacher,medium,5.2,6.2,1,1.0,concrete,neutral,job
dance studio,dance,studio,medium,5.2,6.2,1,1.0,concrete,neutral,building
dance contest,dance,contest,medium,5.2,6.2,1,1.0,concrete,neutral,social
square dance,square,dance,medium,5.4,6.4,1,1.0,concrete,neutral,social
line dance,line,dance,medium,5.4,6.4,1,1.0,concrete,neutral,social
slow dance,slow,dance,medium,5.4,6.4,1,1.0,concrete,neutral,social
tap dance,tap,dance,medium,5.4,6.4,1,1.0,concrete,neutral,social
ballet class,ballet,class,medium,5.2,6.2,1,1.0,concrete,neutral,school
ballet shoes,ballet,shoes,medium,5.2,6.2,1,1.0,concrete,neutral,clothing
art class,art,class,medium,5.6,6.6,1,1.0,concrete,neutral,school
art teacher,art,teacher,medium,5.4,6.4,1,1.0,concrete,neutral,job
art room,art,room,medium,5.4,6.4,1,1.0,concrete,neutral,school
art project,art,project,medium,5.4,6.4,1,1.0,concrete,neutral,school
art supply,art,supply,medium,5.2,6.2,1,1.0,concrete,neutral,object
art show,art,show,medium,5.4,6.4,1,1.0,concrete,neutral,social
art museum,art,museum,medium,5.4,6.4,1,1.0,concrete,neutral,building
art gallery,art,gallery,medium,5.4,6.4,1,1.0,concrete,neutral,building
pop art,pop,art,medium,5.2,6.2,1,1.0,concrete,neutral,art
modern art,modern,art,medium,5.2,6.2,1,1.0,concrete,neutral,art
fine art,fine,art,medium,5.2,6.2,1,0.8,concrete,neutral,art
clip art,clip,art,medium,5.4,6.4,1,1.0,concrete,neutral,object
wall art,wall,art,medium,5.4,6.4,1,1.0,concrete,neutral,object
craft project,craft,project,medium,5.4,6.4,1,1.0,concrete,neutral,school
craft time,craft,time,medium,5.2,6.2,1,1.0,concrete,neutral,time
craft table,craft,table,medium,5.2,6.2,1,1.0,concrete,neutral,object
craft supply,craft,supply,medium,5.2,6.2,1,1.0,concrete,neutral,object
craft store,craft,store,medium,5.4,6.4,1,1.0,concrete,neutral,commerce
craft paper,craft,paper,medium,5.2,6.2,1,1.0,concrete,neutral,object
craft glue,craft,glue,medium,5.0,6.0,1,1.0,concrete,neutral,object
paint brush,paint,brush,medium,5.6,6.6,1,1.0,concrete,neutral,object
paint set,paint,set,medium,5.4,6.4,1,1.0,concrete,neutral,object
water color,water,color,medium,5.4,6.4,1,1.0,concrete,neutral,object
finger paint,finger,paint,medium,5.4,6.4,1,1.0,concrete,neutral,object
color pencil,color,pencil,medium,5.4,6.4,1,1.0,concrete,neutral,object
coloring book,coloring,book,medium,5.6,6.6,1,1.0,concrete,neutral,object
drawing paper,drawing,paper,medium,5.4,6.4,1,1.0,concrete,neutral,object
sketch book,sketch,book,medium,5.4,6.4,1,1.0,concrete,neutral,object
note paper,note,paper,medium,5.4,6.4,1,1.0,concrete,neutral,object
