phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag,difficulty_score,entropy,familiarity,level_tier
barber shop,barber,shop,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
barn dance,barn,dance,medium,5.5,1.64,2,0.7,concrete,neutral,music;festival,26.5,2,4,mid (21-50)
barn door,barn,door,medium,5.5,1.64,2,0.7,concrete,neutral,architecture,25.0,2,4,mid (21-50)
base ball,base,ball,high,6.2,2.08,1,1.0,concrete,neutral,sports,20.0,1,4,early (1-20)
base hit,base,hit,medium,5.2,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
base line,base,line,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
base pay,base,pay,medium,5.2,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
baseball bat,baseball,bat,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball cap,baseball,cap,medium,5.6,1.67,2,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
baseball card,baseball,card,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
baseball field,baseball,field,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball game,baseball,game,medium,5.6,1.67,2,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball glove,baseball,glove,medium,5.6,1.67,2,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball player,baseball,player,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
baseball team,baseball,team,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basket ball,basket,ball,high,6.0,2.08,1,1.0,concrete,neutral,sports,20.0,1,4,early (1-20)
basketball court,basketball,court,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball game,basketball,game,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball hoop,basketball,hoop,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball player,basketball,player,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
basketball team,basketball,team,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
bass drum,bass,drum,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bass guitar,bass,guitar,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bath mat,bath,mat,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bath tub,bath,tub,high,6.0,2.23,3,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
bathroom break,bathroom,break,medium,5.2,1.63,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
bay window,bay,window,medium,5.5,1.67,1,1.0,concrete,neutral,architecture,21.5,1,4,mid (21-50)
beach bag,beach,bag,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beach ball,beach,ball,medium,5.6,1.67,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beach chair,beach,chair,medium,5.4,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
beach front,beach,front,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
beach sand,beach,sand,medium,5.6,1.67,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
beach towel,beach,towel,medium,5.6,1.67,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beach umbrella,beach,umbrella,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bean bag,bean,bag,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,18.5,1,4,early (1-20)
bean soup,bean,soup,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bed cover,bed,cover,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bed frame,bed,frame,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bed pillow,bed,pillow,medium,5.4,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bed time,bed,time,medium,5.8,1.67,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
bee hive,bee,hive,medium,5.6,1.67,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bee sting,bee,sting,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
beef burger,beef,burger,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beef jerky,beef,jerky,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beef steak,beef,steak,medium,5.6,1.67,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beef stew,beef,stew,medium,5.6,1.67,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
beer bottle,beer,bottle,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beer can,beer,can,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
beer mug,beer,mug,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bell pepper,bell,pepper,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bell tower,bell,tower,medium,5.5,1.67,1,1.0,concrete,neutral,architecture,21.5,1,4,mid (21-50)
belly button,belly,button,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,24.5,1,4,early (1-20)
bench press,bench,press,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,23.0,1,4,early (1-20)
best friend,best,friend,high,5.8,2.07,1,1.0,concrete,neutral,social,20.0,1,4,early (1-20)
big business,big,business,medium,5.4,1.6,2,0.7,concrete,neutral,work,20.0,1,4,mid (21-50)
big sale,big,sale,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bike chain,bike,chain,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bike helmet,bike,helmet,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bike lane,bike,lane,medium,5.4,1.63,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bike path,bike,path,medium,5.6,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bike rack,bike,rack,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bike ride,bike,ride,medium,5.6,1.67,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bike shop,bike,shop,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
bike trail,bike,trail,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bike wheel,bike,wheel,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bird bath,bird,bath,medium,5.4,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird cage,bird,cage,medium,5.4,1.63,2,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
bird call,bird,call,medium,5.2,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird feeder,bird,feeder,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bird food,bird,food,medium,5.4,1.63,2,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
bird house,bird,house,medium,5.6,2.22,1,1.0,concrete,neutral,object,20.0,1,4,early (1-20)
bird nest,bird,nest,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird seed,bird,seed,medium,5.4,1.63,2,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
bird song,bird,song,medium,5.2,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
bird watching,bird,watching,medium,5.2,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
birthday cake,birthday,cake,high,5.8,2.22,3,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
birthday gift,birthday,gift,medium,5.6,1.67,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
birthday party,birthday,party,high,5.8,2.07,2,1.0,concrete,neutral,social,20.0,1,4,early (1-20)
birthday present,birthday,present,medium,5.6,1.67,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
birthday song,birthday,song,medium,5.4,1.63,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
birthday wish,birthday,wish,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
black coffee,black,coffee,medium,5.6,1.67,1,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
black market,black,market,medium,5.4,1.6,2,0.7,concrete,neutral,commerce,20.0,1,4,mid (21-50)
black pepper,black,pepper,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
black tea,black,tea,medium,5.4,1.63,2,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
blank check,blank,check,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
blank paper,blank,paper,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
blanket fort,blanket,fort,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
block party,block,party,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
blue cheese,blue,cheese,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
blue sky,blue,sky,medium,5.6,1.67,1,1.0,concrete,neutral,weather,20.0,1,4,mid (21-50)
blueberry muffin,blueberry,muffin,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
blueberry pie,blueberry,pie,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
board game,board,game,high,5.8,2.22,1,1.0,concrete,neutral,object,20.0,1,4,early (1-20)
board meeting,board,meeting,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
board room,board,room,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
boarding school,boarding,school,medium,5.2,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
boat dock,boat,dock,medium,5.4,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
boat trip,boat,trip,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
body pillow,body,pillow,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
body shop,body,shop,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
boiled egg,boiled,egg,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
boiler room,boiler,room,medium,5.0,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
bonus pay,bonus,pay,medium,5.2,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
book bag,book,bag,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
book end,book,end,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
book fair,book,fair,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
book mark,book,mark,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
book report,book,report,medium,5.4,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
book shelf,book,shelf,medium,5.6,2.22,3,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
boot camp,boot,camp,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
boot lace,boot,lace,medium,5.5,1.67,1,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
bottle neck,bottle,neck,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,23.0,1,4,early (1-20)
bounce house,bounce,house,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bow tie,bow,tie,medium,5.4,1.63,1,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
bowling ball,bowling,ball,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
box car,box,car,medium,5.5,1.67,1,1.0,concrete,neutral,transport,17.0,1,4,mid (21-50)
box lunch,box,lunch,high,5.5,2.07,1,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
box office,box,office,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
boxing ring,boxing,ring,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,23.0,1,4,early (1-20)
brake light,brake,light,medium,5.4,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
brake pad,brake,pad,medium,5.5,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
brake shoe,brake,shoe,medium,5.0,1.63,1,1.0,concrete,neutral,transport,22.5,1,3,mid (21-50)
bran muffin,bran,muffin,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
branch office,branch,office,medium,5.2,1.63,2,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
brand logo,brand,logo,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
brand name,brand,name,medium,5.6,1.67,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
brand new,brand,new,medium,5.6,1.67,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
brass key,brass,key,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,20.0,1,4,early (1-20)
bread crumb,bread,crumb,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bread knife,bread,knife,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
bread loaf,bread,loaf,high,5.5,2.07,2,1.0,concrete,neutral,food,21.5,1,4,early (1-20)
bread maker,bread,maker,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bread roll,bread,roll,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bread slice,bread,slice,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bread stick,bread,stick,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
break room,break,room,medium,5.6,1.67,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
breakfast bar,breakfast,bar,medium,5.2,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
breakfast burrito,breakfast,burrito,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
breakfast sandwich,breakfast,sandwich,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
breakfast table,breakfast,table,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
brick wall,brick,wall,medium,5.5,1.67,1,1.0,concrete,neutral,architecture,21.5,1,4,mid (21-50)
broom closet,broom,closet,high,5.5,2.07,1,1.0,concrete,neutral,household,24.5,1,4,early (1-20)
broom handle,broom,handle,high,5.5,2.07,1,1.0,concrete,neutral,household,24.5,1,4,early (1-20)
brown gravy,brown,gravy,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
brown rice,brown,rice,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
brown sugar,brown,sugar,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
brownie batter,brownie,batter,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
brownie mix,brownie,mix,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
brunch menu,brunch,menu,medium,5.0,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bulletin board,bulletin,board,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
bumble bee,bumble,bee,medium,5.4,1.63,1,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
burnt toast,burnt,toast,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
bus driver,bus,driver,medium,5.6,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bus fare,bus,fare,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bus lane,bus,lane,medium,5.2,1.63,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bus route,bus,route,medium,5.4,1.63,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
bus stop,bus,stop,high,6.0,2.23,3,1.0,concrete,neutral,transport,20.0,1,4,early (1-20)
bus ticket,bus,ticket,medium,5.4,1.63,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
business card,business,card,medium,5.6,1.67,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
business day,business,day,medium,5.4,1.63,2,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
business deal,business,deal,medium,5.4,1.6,2,0.7,concrete,neutral,work,20.0,1,4,mid (21-50)
business hour,business,hour,medium,5.2,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
business logo,business,logo,medium,5.2,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
business lunch,business,lunch,medium,5.4,1.63,2,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
business meeting,business,meeting,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
business owner,business,owner,medium,5.4,1.63,1,1.0,concrete,neutral,job,20.0,1,4,mid (21-50)
business plan,business,plan,medium,5.4,1.6,1,0.7,concrete,neutral,work,20.0,1,4,mid (21-50)
business suit,business,suit,medium,5.4,1.63,1,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
