phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag,difficulty_score,entropy,familiarity
bad luck,bad,luck,medium,5.6,6.6,2,0.5,abstract,negative,social,20.0,1,4
bad news,bad,news,high,5.8,6.8,1,0.7,abstract,negative,communication,20.0,1,4
bad time,bad,time,medium,5.6,6.6,1,0.6,abstract,negative,time,20.0,1,4
bag lunch,bag,lunch,high,5.5,5.7,1,1.0,concrete,neutral,food,20.0,1,4
bagel shop,bagel,shop,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
bail out,bail,out,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
bake sale,bake,sale,medium,5.4,6.4,1,1.0,concrete,neutral,commerce,20.0,1,4
baked bean,baked,bean,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
baked potato,baked,potato,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
baking dish,baking,dish,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
baking pan,baking,pan,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
baking powder,baking,powder,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
baking sheet,baking,sheet,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
baking soda,baking,soda,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
baking tray,baking,tray,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
ball game,ball,game,medium,5.6,6.6,2,1.0,concrete,neutral,sports,20.0,1,4
ball pit,ball,pit,medium,5.4,6.4,5,1.0,concrete,neutral,object,20.0,1,4
ballet class,ballet,class,medium,5.2,6.2,1,1.0,concrete,neutral,school,20.0,1,4
ballet shoes,ballet,shoes,medium,5.2,6.2,1,1.0,concrete,neutral,clothing,20.0,1,4
balloon ride,balloon,ride,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
banana bread,banana,bread,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
banana peel,banana,peel,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
banana split,banana,split,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
band member,band,member,medium,5.2,6.2,1,1.0,concrete,neutral,social,20.0,1,4
band practice,band,practice,medium,5.2,6.2,1,1.0,concrete,neutral,music,20.0,1,4
band wagon,band,wagon,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,21.5,1,4
bank account,bank,account,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
bank balance,bank,balance,medium,5.2,6.2,2,0.8,concrete,neutral,commerce,20.0,1,4
bank book,bank,book,low,4.8,5.8,2,1.0,concrete,neutral,object,20.0,1,4
bank card,bank,card,medium,5.4,6.4,2,1.0,concrete,neutral,commerce,20.0,1,4
bank check,bank,check,medium,5.2,6.2,2,1.0,concrete,neutral,commerce,20.0,1,4
bank loan,bank,loan,medium,5.4,6.4,1,1.0,concrete,neutral,commerce,20.0,1,4
bank note,bank,note,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
bank on,bank,on,medium,5.2,6.2,1,0.4,abstract,positive,action,20.0,1,4
bank statement,bank,statement,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
bank teller,bank,teller,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
bank vault,bank,vault,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
bar code,bar,code,medium,5.6,6.6,1,1.0,concrete,neutral,object,20.0,1,4
bar stool,bar,stool,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
bar tab,bar,tab,medium,5.5,5.7,1,1.0,concrete,neutral,commerce,17.0,1,4
barbecue sauce,barbecue,sauce,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
barber shop,barber,shop,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
barn dance,barn,dance,medium,5.5,5.7,2,0.7,concrete,neutral,music;festival,26.5,2,4
barn door,barn,door,medium,5.5,5.7,2,0.7,concrete,neutral,architecture,25.0,2,4
base ball,base,ball,high,6.2,7.4,1,1.0,concrete,neutral,sports,20.0,1,4
base hit,base,hit,medium,5.2,6.2,1,1.0,concrete,neutral,sports,20.0,1,4
base line,base,line,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
base pay,base,pay,medium,5.2,6.2,1,1.0,concrete,neutral,work,20.0,1,4
baseball bat,baseball,bat,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
baseball cap,baseball,cap,medium,5.6,6.6,2,1.0,concrete,neutral,clothing,20.0,1,4
baseball card,baseball,card,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
baseball field,baseball,field,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
baseball game,baseball,game,medium,5.6,6.6,2,1.0,concrete,neutral,sports,20.0,1,4
baseball glove,baseball,glove,medium,5.6,6.6,2,1.0,concrete,neutral,sports,20.0,1,4
baseball player,baseball,player,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
baseball team,baseball,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
basic idea,basic,idea,medium,5.2,6.2,1,0.5,abstract,neutral,thought,20.0,1,4
basket ball,basket,ball,high,6.0,7.2,1,1.0,concrete,neutral,sports,20.0,1,4
basketball court,basketball,court,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
basketball game,basketball,game,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
basketball hoop,basketball,hoop,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
basketball player,basketball,player,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
basketball team,basketball,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
bass drum,bass,drum,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
bass guitar,bass,guitar,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
bath mat,bath,mat,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
bath rug,bath,rug,medium,5.2,6.2,3,1.0,concrete,neutral,household,20.0,1,4
bath time,bath,time,medium,5.4,6.4,3,1.0,concrete,neutral,time,20.0,1,4
bath towel,bath,towel,medium,5.8,6.8,3,1.0,concrete,neutral,household,20.0,1,4
bath tub,bath,tub,high,6.0,7.2,3,1.0,concrete,neutral,household,20.0,1,4
bathroom break,bathroom,break,medium,5.2,6.2,1,1.0,concrete,neutral,time,20.0,1,4
bay window,bay,window,medium,5.5,5.7,1,1.0,concrete,neutral,architecture,21.5,1,4
beach bag,beach,bag,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
beach ball,beach,ball,medium,5.6,6.6,2,1.0,concrete,neutral,object,20.0,1,4
beach chair,beach,chair,medium,5.4,6.4,2,1.0,concrete,neutral,household,20.0,1,4
beach front,beach,front,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
beach hat,beach,hat,medium,5.2,6.2,3,1.0,concrete,neutral,clothing,20.0,1,4
beach house,beach,house,medium,5.4,6.4,3,1.0,concrete,neutral,building,20.0,1,4
beach sand,beach,sand,medium,5.6,6.6,2,1.0,concrete,neutral,nature,20.0,1,4
beach towel,beach,towel,medium,5.6,6.6,1,1.0,concrete,neutral,object,20.0,1,4
beach umbrella,beach,umbrella,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
bean bag,bean,bag,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,18.5,1,4
bean soup,bean,soup,medium,5.2,6.2,1,1.0,concrete,neutral,food,20.0,1,4
bear down,bear,down,medium,5.0,6.0,1,0.4,abstract,neutral,action,20.0,1,4
beaten path,beaten,path,medium,5.0,6.0,1,0.5,abstract,neutral,nature,20.0,1,4
bed cover,bed,cover,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
bed frame,bed,frame,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
bed pillow,bed,pillow,medium,5.4,6.4,2,1.0,concrete,neutral,household,20.0,1,4
bed rest,bed,rest,high,5.5,5.7,3,1.0,concrete,neutral,household,18.5,1,4
bed sheet,bed,sheet,high,5.5,5.7,3,1.0,concrete,neutral,household,20.0,1,4
bed side,bed,side,medium,5.6,6.6,3,1.0,concrete,neutral,household,20.0,1,4
bed time,bed,time,medium,5.8,6.8,1,1.0,concrete,neutral,time,20.0,1,4
bee hive,bee,hive,medium,5.6,6.6,1,1.0,concrete,neutral,nature,20.0,1,4
bee sting,bee,sting,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
beef burger,beef,burger,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
beef jerky,beef,jerky,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
beef steak,beef,steak,medium,5.6,6.6,2,1.0,concrete,neutral,food,20.0,1,4
beef stew,beef,stew,medium,5.6,6.6,2,1.0,concrete,neutral,food,20.0,1,4
beer bottle,beer,bottle,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
beer can,beer,can,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
beer garden,beer,garden,medium,5.2,6.2,3,1.0,concrete,neutral,commerce,20.0,1,4
beer mug,beer,mug,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
bell pepper,bell,pepper,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
bell tower,bell,tower,medium,5.5,5.7,1,1.0,concrete,neutral,architecture,21.5,1,4
belly button,belly,button,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,24.5,1,4
bench press,bench,press,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,23.0,1,4
best friend,best,friend,high,5.8,6.8,1,1.0,concrete,neutral,social,20.0,1,4
best time,best,time,medium,5.6,6.6,1,0.6,abstract,positive,time,20.0,1,4
best way,best,way,high,5.8,6.8,1,0.5,abstract,positive,action,20.0,1,4
big business,big,business,medium,5.4,6.4,2,0.7,concrete,neutral,work,20.0,1,4
big idea,big,idea,medium,5.4,6.4,1,0.5,abstract,neutral,thought,20.0,1,4
big news,big,news,medium,5.4,6.4,1,0.7,abstract,neutral,communication,20.0,1,4
big picture,big,picture,medium,5.6,6.6,1,0.4,abstract,neutral,thought,20.0,1,4
big sale,big,sale,medium,5.4,6.4,2,1.0,concrete,neutral,commerce,20.0,1,4
big shot,big,shot,medium,5.4,6.4,2,0.4,abstract,neutral,social,20.0,1,4
big time,big,time,medium,5.6,6.6,2,0.6,abstract,neutral,time,20.0,1,4
bigger picture,bigger,picture,medium,5.2,6.2,1,0.4,abstract,neutral,thought,20.0,1,4
bike chain,bike,chain,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
bike helmet,bike,helmet,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
bike lane,bike,lane,medium,5.4,6.4,2,1.0,concrete,neutral,transport,20.0,1,4
bike lock,bike,lock,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
bike path,bike,path,medium,5.6,6.6,1,1.0,concrete,neutral,transport,20.0,1,4
bike rack,bike,rack,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
bike ride,bike,ride,medium,5.6,6.6,2,1.0,concrete,neutral,transport,20.0,1,4
bike shop,bike,shop,medium,5.4,6.4,1,1.0,concrete,neutral,commerce,20.0,1,4
bike trail,bike,trail,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
bike wheel,bike,wheel,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
bird bath,bird,bath,medium,5.4,6.4,2,1.0,concrete,neutral,nature,20.0,1,4
bird cage,bird,cage,medium,5.4,6.4,2,1.0,concrete,neutral,animal,20.0,1,4
bird call,bird,call,medium,5.2,6.2,2,1.0,concrete,neutral,nature,20.0,1,4
bird feeder,bird,feeder,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
bird food,bird,food,medium,5.4,6.4,2,1.0,concrete,neutral,animal,20.0,1,4
bird house,bird,house,medium,5.6,6.6,1,1.0,concrete,neutral,object,20.0,1,4
bird nest,bird,nest,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
bird seed,bird,seed,medium,5.4,6.4,2,1.0,concrete,neutral,animal,20.0,1,4
bird song,bird,song,medium,5.2,6.2,2,1.0,concrete,neutral,nature,20.0,1,4
bird watching,bird,watching,medium,5.2,6.2,2,1.0,concrete,neutral,nature,20.0,1,4
birthday cake,birthday,cake,high,5.8,6.8,3,1.0,concrete,neutral,food,20.0,1,4
birthday candle,birthday,candle,medium,5.4,6.4,3,1.0,concrete,neutral,object,20.0,1,4
birthday card,birthday,card,medium,5.6,6.6,3,1.0,concrete,neutral,object,20.0,1,4
birthday gift,birthday,gift,medium,5.6,6.6,1,1.0,concrete,neutral,object,20.0,1,4
birthday party,birthday,party,high,5.8,6.8,2,1.0,concrete,neutral,social,20.0,1,4
birthday present,birthday,present,medium,5.6,6.6,2,1.0,concrete,neutral,object,20.0,1,4
birthday song,birthday,song,medium,5.4,6.4,1,1.0,concrete,neutral,music,20.0,1,4
birthday wish,birthday,wish,medium,5.4,6.4,1,1.0,concrete,neutral,social,20.0,1,4
black bean,black,bean,medium,5.4,6.4,4,1.0,concrete,neutral,food,20.0,1,4
black coffee,black,coffee,medium,5.6,6.6,1,1.0,concrete,neutral,drink,20.0,1,4
black market,black,market,medium,5.4,6.4,2,0.7,concrete,neutral,commerce,20.0,1,4
black out,black,out,medium,5.4,6.4,1,0.5,abstract,negative,action,20.0,1,4
black pepper,black,pepper,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
black tea,black,tea,medium,5.4,6.4,2,1.0,concrete,neutral,drink,20.0,1,4
blank check,blank,check,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
blank paper,blank,paper,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
blank slate,blank,slate,medium,5.2,6.2,1,0.4,abstract,neutral,thought,20.0,1,4
blanket fort,blanket,fort,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
blanket stitch,blanket,stitch,low,4.8,5.8,1,1.0,concrete,neutral,craft,20.0,1,4
blend in,blend,in,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
blind luck,blind,luck,medium,5.0,6.0,1,0.5,abstract,neutral,social,20.0,1,4
blind side,blind,side,medium,5.4,6.4,1,0.5,abstract,negative,action,20.0,1,4
block party,block,party,medium,5.4,6.4,1,1.0,concrete,neutral,social,20.0,1,4
blow away,blow,away,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
blow off,blow,off,medium,5.2,6.2,1,0.5,abstract,negative,action,20.0,1,4
blue cheese,blue,cheese,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
blue sky,blue,sky,medium,5.6,6.6,1,1.0,concrete,neutral,weather,20.0,1,4
blueberry muffin,blueberry,muffin,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
blueberry pie,blueberry,pie,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
board game,board,game,high,5.8,6.8,1,1.0,concrete,neutral,object,20.0,1,4
board meeting,board,meeting,medium,5.4,6.4,1,1.0,concrete,neutral,work,20.0,1,4
board room,board,room,medium,5.4,6.4,1,1.0,concrete,neutral,work,20.0,1,4
boarding school,boarding,school,medium,5.2,6.2,1,1.0,concrete,neutral,school,20.0,1,4
boat dock,boat,dock,medium,5.4,6.4,1,1.0,concrete,neutral,transport,20.0,1,4
boat race,boat,race,medium,5.5,5.7,3,1.0,concrete,neutral,maritime,20.0,1,4
boat ramp,boat,ramp,medium,5.2,6.2,3,1.0,concrete,neutral,transport,20.0,1,4
boat ride,boat,ride,medium,5.4,6.4,3,1.0,concrete,neutral,transport,20.0,1,4
boat trip,boat,trip,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
body pillow,body,pillow,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
body shop,body,shop,medium,5.4,6.4,1,1.0,concrete,neutral,commerce,20.0,1,4
boiled egg,boiled,egg,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
boiler room,boiler,room,medium,5.0,6.0,1,1.0,concrete,neutral,building,20.0,1,4
bonus pay,bonus,pay,medium,5.2,6.2,1,1.0,concrete,neutral,work,20.0,1,4
book bag,book,bag,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
book club,book,club,medium,5.6,6.6,3,1.0,concrete,neutral,social,20.0,1,4
book cover,book,cover,high,5.5,5.7,3,1.0,concrete,neutral,object_neutral,21.5,1,4
book end,book,end,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
book fair,book,fair,medium,5.4,6.4,1,1.0,concrete,neutral,social,20.0,1,4
book mark,book,mark,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
book report,book,report,medium,5.4,6.4,1,1.0,concrete,neutral,school,20.0,1,4
book sale,book,sale,medium,5.4,6.4,3,1.0,concrete,neutral,commerce,20.0,1,4
book shelf,book,shelf,medium,5.6,6.6,3,1.0,concrete,neutral,household,20.0,1,4
book store,book,store,medium,5.6,6.6,3,1.0,concrete,neutral,commerce,20.0,1,4
boot camp,boot,camp,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
boot lace,boot,lace,medium,5.5,5.7,1,1.0,concrete,neutral,clothing,20.0,1,4
boss around,boss,around,medium,5.2,6.2,1,0.5,abstract,negative,action,20.0,1,4
bottle neck,bottle,neck,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,23.0,1,4
bounce back,bounce,back,medium,5.4,6.4,1,0.5,abstract,positive,action,20.0,1,4
bounce house,bounce,house,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
bow tie,bow,tie,medium,5.4,6.4,1,1.0,concrete,neutral,clothing,20.0,1,4
bowling ball,bowling,ball,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
box car,box,car,medium,5.5,5.7,1,1.0,concrete,neutral,transport,17.0,1,4
box lunch,box,lunch,high,5.5,5.7,1,1.0,concrete,neutral,food,20.0,1,4
box office,box,office,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
boxing ring,boxing,ring,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,23.0,1,4
brake light,brake,light,medium,5.4,6.4,1,1.0,concrete,neutral,transport,20.0,1,4
brake pad,brake,pad,medium,5.5,5.7,1,1.0,concrete,neutral,transport,20.0,1,4
brake shoe,brake,shoe,medium,5.0,5.0,1,1.0,concrete,neutral,transport,22.5,1,3
bran muffin,bran,muffin,medium,5.2,6.2,1,1.0,concrete,neutral,food,20.0,1,4
branch office,branch,office,medium,5.2,6.2,2,1.0,concrete,neutral,work,20.0,1,4
branch out,branch,out,medium,5.2,6.2,2,0.4,abstract,positive,action,20.0,1,4
brand logo,brand,logo,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
brand name,brand,name,medium,5.6,6.6,2,1.0,concrete,neutral,commerce,20.0,1,4
brand new,brand,new,medium,5.6,6.6,2,1.0,concrete,neutral,commerce,20.0,1,4
brass key,brass,key,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,20.0,1,4
bread basket,bread,basket,medium,5.4,6.4,3,1.0,concrete,neutral,household,20.0,1,4
bread box,bread,box,medium,5.4,6.4,3,1.0,concrete,neutral,object,20.0,1,4
bread crumb,bread,crumb,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
bread knife,bread,knife,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
bread loaf,bread,loaf,high,5.5,5.7,2,1.0,concrete,neutral,food,21.5,1,4
bread maker,bread,maker,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
bread roll,bread,roll,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
bread slice,bread,slice,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
bread stick,bread,stick,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
break away,break,away,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
break down,break,down,high,5.8,6.8,1,0.5,abstract,negative,action,20.0,1,4
break in,break,in,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
break room,break,room,medium,5.6,6.6,1,1.0,concrete,neutral,work,20.0,1,4
break through,break,through,medium,5.6,6.6,1,0.5,abstract,positive,action,20.0,1,4
